Date,Open,High,Low,Close,Adj Close
2017-04-01,,,,244.52,244.52
2017-05-01,,,,244.73,244.73
2017-06-01,,,,244.96,244.96
2017-07-01,,,,244.79,244.79
2017-08-01,,,,245.52,245.52
2017-09-01,,,,246.82,246.82
2017-10-01,,,,246.66,246.66
2017-11-01,,,,246.67,246.67
2017-12-01,,,,246.52,246.52
2018-01-01,,,,247.87,247.87
2018-02-01,,,,248.99,248.99
2018-03-01,,,,249.55,249.55
2018-04-01,,,,250.55,250.55
2018-05-01,,,,251.59,251.59
2018-06-01,,,,251.99,251.99
2018-07-01,,,,252.01,252.01
2018-08-01,,,,252.15,252.15
2018-09-01,,,,252.44,252.44
2018-10-01,,,,252.89,252.89
2018-11-01,,,,252.04,252.04
2018-12-01,,,,251.23,251.23
2019-01-01,,,,251.71,251.71
2019-02-01,,,,252.78,252.78
2019-03-01,,,,254.2,254.2
2019-04-01,,,,255.55,255.55
2019-05-01,,,,256.09,256.09
2019-06-01,,,,256.14,256.14
2019-07-01,,,,256.57,256.57
2019-08-01,,,,256.56,256.56
2019-09-01,,,,256.76,256.76
2019-10-01,,,,257.35,257.35
2019-11-01,,,,257.21,257.21
2019-12-01,,,,256.97,256.97
2020-01-01,,,,257.97,257.97
2020-02-01,,,,258.68,258.68
2020-03-01,,,,258.12,258.12
2020-04-01,,,,256.39,256.39
2020-05-01,,,,256.39,256.39
2020-06-01,,,,257.8,257.8
2020-07-01,,,,259.1,259.1
2020-08-01,,,,259.92,259.92
2020-09-01,,,,260.28,260.28
2020-10-01,,,,260.46,260.46
